"104668","01015004120303509103","4","30"
"104669","01015004130203402103","4","60"
"104670","01015004130203403103","4","80"
"104671","01015004130203404103","4","90"
"104672","01015004130203408103","2","90"
"104673","01015004150203202102","4","80"
"104674","01015004150203203102","4","100"
"104675","01015004150203204102","3","100"
"104676","01015004150203206102","4","100"
"104677","01015004190403201102","4","15"
"104678","01015004190403207102","4","50"
"104679","01015004210103501103","4","64"
"104680","01015004210103502103","4","80"
"104681","01015004210103504103","3","30"
"104682","01015004210303101102","4","40"
"104683","01015004210303103102","1","50"
"104684","01015004210303104102","4","60"
"104685","01015004250104103102","1","30"
"104686","01015004250104104202","1","20"
"104687","01015004250104106102","4","20"
"104688","01015004270203401103","2","90"
"104689","01015004270203402103","2","60"
"104690","01015004270203404103","4","70"
"104691","01015004270203405103","2","160"
"104692","01015004280302601102","4","200"
"104693","01015004280302602102","4","30"
"104694","01015004280302605102","4","40"
"104695","01015004280302606102","4","40"
"104696","01015004280302607102","4","80"
"104697","01015004320104202103","4","80"
"104698","01015004320104205103","4","90"
"104699","01015004320104207103","4","80"
"104700","01015004320104208103","4","40"
"104701","01015004320104210103","4","80"
"104702","01015004340304101102","4","60"
"104703","01015004340304104102","4","60"
"104704","01015004360103401103","4","70"
"104705","01015004360103404103","4","80"
"104706","01015004360103405103","4","70"
"104707","01015004360202601102","4","150"
"104708","01015004360202602102","4","120"
"104709","01015004360202603102","4","40"
"104710","01015004360202604102","4","60"
"104711","01015004360202606102","4","40"
"104712","01015004360202607102","4","50"
"104713","01015004360202608102","4","40"
"104714","01015004370103402103","3","20"
"104715","01015004370103403103","4","10"
"104716","01015004370103404103","4","10"
"104717","01015004370103407103","4","20"
"104718","01015004380204204103","4","50"
"104719","01015004380204206103","4","90"
"104720","01015004420304103102","4","150"
"104721","01015004420304108102","4","50"
"104722","01015004430203705101","4","60"
"104723","01015004460302503101","4","30"
"104724","01015004460302504101","4","200"
"104725","01015004460302505101","1","80"
"104726","01015004460302506101","2","50"
"104727","01015004460302507101","2","80"
"104728","01015004520302503101","2","100"
"104729","01015004520302508101","1","15"
"104730","01015004530403709101","4","14"
"104731","01015004540302703103","3","20"
"104732","01015004540302704103","4","50"
